name,year,committee,region,cleanedName,cleanedRegion,Continent,DirectMatch,FuzzyMatch,GenderGuesser
Himabindu Pucha,2009,Program,"IBM Research, Almaden, USA",Himabindu Pucha,"IBM Research, Almaden, USA",North America,Female,Female,unknown
Lili Qiu,2009,Program,"University of Texas at Austin, USA",Lili Qiu,"University of Texas at Austin, USA",North America,Female,Female,female
Bhaskaran Raman,2009,Program,"IIT Bombay, India",Bhaskaran Raman,"IIT Bombay, India",Asia,Male,Male,unknown
Jen Rexford,2009,Program,"Princeton University, USA",Jen Rexford,"Princeton University, USA",North America,,,female
Pablo Rodriguez,2009,Program,"Telefonica Research, Spain",Pablo Rodriguez,"Telefonica Research, Spain",Europe,,Male,male
Matthew Roughan,2009,Program,"University of Adelaide, Australia",Matthew Roughan,"University of Adelaide, Australia",Australia,Male,Male,male
Stefan Saroiu,2009,Program,"Microsoft Research<, USA/td>",Stefan Saroiu,"Microsoft Research<, USA/td>",North America,Male,Male,male
Alex Snoeren,2009,Program,"UC San Diego, USA",Alex Snoeren,"UC San Diego, USA",North America,,Male,male
Giovanni Stea,2009,Program,"University of Pisa, Italy",Giovanni Stea,"University of Pisa, Italy",Europe,,,male
Peter Steenkiste,2009,Program,"Carnegie Mellon University, USA",Peter Steenkiste,"Carnegie Mellon University, USA",North America,Male,Male,male
Karthikeyan Sundaresan,2009,Program,"NEC Laboratories America, USA",Karthikeyan Sundaresan,"NEC Laboratories America, USA",North America,Male,Male,unknown
Nina Taft,2009,Program,"Intel Research Berkeley, USA",Nina Taft,"Intel Research Berkeley, USA",North America,Female,Female,female
Leandros Tassiulas,2009,Program,"University of Thessaly, Greece",Leandros Tassiulas,"University of Thessaly, Greece",Europe,Male,Male,male
Renata Teixeira,2009,Program,"CNRS and UPMC, France",Renata Teixeira,"CNRS and UPMC, France",Europe,Female,Female,female
Patrick Thiran,2009,Program,"EPFL, Switzerland",Patrick Thiran,"EPFL, Switzerland",Europe,Male,Male,male
Jon Turner,2009,Program,"Washington University, USA",Jon Turner,"Washington University, USA",North America,,,male
Darryl Veitch,2009,Program,"University of Melbourne, Australia",Darryl Veitch,"University of Melbourne, Australia",Australia,,,male
Jia Wang,2009,Program,"AT&T Labs - Research, USA",Jia Wang,"AT&T Labs - Research, USA",North America,Female,Female,andy
Xiaowei Yang,2009,Program,"Duke University, USA",Xiaowei Yang,"Duke University, USA",North America,Female,Female,unknown
Amgad Zeitoun,2009,Program,"Google, Inc., USA",Amgad Zeitoun,"Google, Inc., USA",North America,Male,Male,unknown
Yin Zhang,2009,Program,"University of Texas at Austin, USA",Yin Zhang,"University of Texas at Austin, USA",North America,Female,Female,andy
Zhi-Li Zhang,2009,Program,"University of Minnesota, USA",Zhi-Li Zhang,"University of Minnesota, USA",North America,Male,Male,andy
K.K. Ramakrishnan,2010,Program,"AT&T Labs - Research, USA",K.K. Ramakrishnan,"AT&T Labs - Research, USA",North America,,Male,unknown
Geoffrey M. Voelker,2010,Program,"U.C. San Diego, USA",Geoffrey M. Voelker,"U.C. San Diego, USA",North America,,,male
Kevin Almeroth,2010,Program,"U.C. Santa Barbara, USA",Kevin Almeroth,"U.C. Santa Barbara, USA",North America,,Male,male
Ramon Caceres,2010,Program,"AT&T Labs - Research, USA",Ramon Caceres,"AT&T Labs - Research, USA",North America,,,male
Augustin Chaintreau,2010,Program,"Thomson, France",Augustin Chaintreau,"Thomson, France",Europe,Male,Male,male
Reuven Cohen,2010,Program,"Technion, Israel",Reuven Cohen,"Technion, Israel",Asia,,,male
Bruce Davie,2010,Program,"Cisco, USA",Bruce Davie,"Cisco, USA",North America,,Male,male
Cristian Estan,2010,Program,"NetLogic Microsystem, USA",Cristian Estan,"NetLogic Microsystem, USA",North America,,,male
Ramesh Govindan,2010,Program,"University of Southern California, USA",Ramesh Govindan,"University of Southern California, USA",North America,Male,Male,male
Timothy G. Griffin,2010,Program,"University of Cambridge, UK",Timothy G. Griffin,"University of Cambridge, UK",Europe,Male,Male,male
Chuanxiong Guo,2010,Program,"Microsoft Research Asia, China",Chuanxiong Guo,"Microsoft Research Asia, China",Asia,Male,Male,unknown
Mark Handley,2010,Program,"University College London, UK",Mark Handley,"University College London, UK",Europe,Male,Male,male
Kyle Jamieson,2010,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",Europe,Male,Male,mostly_female
Kevin Jeffay,2010,Program,"University of North Carolina, USA",Kevin Jeffay,"University of North Carolina, USA",North America,,,male
S. Keshav,2010,Program,"University of Waterloo, Canada",S. Keshav,"University of Waterloo, Canada",North America,,Male,unknown
Murali Kodialam,2010,Program,"Bell Labs, USA",Murali Kodialam,"Bell Labs, USA",North America,Male,Male,unknown
Arvind Krishnamurthy,2010,Program,"University of Washington, USA",Arvind Krishnamurthy,"University of Washington, USA",North America,Male,Male,male
Srikanth Krishnamurthy,2010,Program,"U.C. Riverside, USA",Srikanth Krishnamurthy,"U.C. Riverside, USA",North America,,Male,unknown
Joy Kuri,2010,Program,"Indian Institute of Science, India",Joy Kuri,"Indian Institute of Science, India",Asia,,,female
Jinyang Li,2010,Program,"NYU, USA",Jinyang Li,"NYU, USA",North America,Female,Female,unknown
Michael Mitzenmacher,2010,Program,"Harvard University, USA",Michael Mitzenmacher,"Harvard University, USA",North America,Male,Male,male
Jeff Mogul,2010,Program,"HP Labs, USA",Jeff Mogul,"HP Labs, USA",North America,Male,Male,male
Sue Moon,2010,Program,"KAIST, Korea",Sue Moon,"KAIST, Korea",Asia,Female,Female,female
Robert Morris,2010,Program,"MIT, USA",Robert Morris,"MIT, USA",North America,Male,Male,male
Cristina Nita-Rotaru,2010,Program,"Purdue University, USA",Cristina Nita-Rotaru,"Purdue University, USA",North America,Female,Female,female
David Oran,2010,Program,Unknown,David Oran,Unknown,North America,Male,Male,male
Jitendra Padhye,2010,Program,"Microsoft Research Redmond, USA",Jitendra Padhye,"Microsoft Research Redmond, USA",North America,Male,Male,unknown
Balaji Prabhakar,2010,Program,"Stanford University, USA",Balaji Prabhakar,"Stanford University, USA",North America,Male,Male,unknown
Niels Provos,2010,Program,"Google, USA",Niels Provos,"Google, USA",North America,,,male
Bhaskaran Raman,2010,Program,"IIT Bombay, India",Bhaskaran Raman,"IIT Bombay, India",Asia,Male,Male,unknown
Ram Ramjee,2010,Program,"Microsoft Research, India",Ram Ramjee,"Microsoft Research, India",Asia,,,male
Jennifer Rexford,2010,Program,"Princeton University, USA",Jennifer Rexford,"Princeton University, USA",North America,Female,Female,female
Pablo Rodriguez,2010,Program,"Telefonica Research, Spain",Pablo Rodriguez,"Telefonica Research, Spain",Europe,,Male,male
Matthew Roughan,2010,Program,"University of Adelaide, Australia",Matthew Roughan,"University of Adelaide, Australia",Australia,Male,Male,male
Antony Rowstron,2010,Program,"Microsoft Research Cambridge, UK",Antony Rowstron,"Microsoft Research Cambridge, UK",Europe,Male,Male,male
Srinivasan Seshan,2010,Program,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",North America,Male,Male,unknown
Aman Shaikh,2010,Program,"AT&T Labs - Research, USA",Aman Shaikh,"AT&T Labs - Research, USA",North America,Male,Male,male
Prashant Shenoy,2010,Program,"Univ. of Massachusetts Amherst, USA",Prashant Shenoy,"Univ. of Massachusetts Amherst, USA",North America,,Male,male
Emin G�n Sirer,2010,Program,"Cornell University, USA",Emin Gn Sirer,"Cornell University, USA",North America,,Male,male
Neil Spring,2010,Program,"University of Maryland, USA",Neil Spring,"University of Maryland, USA",North America,Male,Male,male
Renata Teixeira,2010,Program,"LIP6 / CNRS, France",Renata Teixeira,"LIP6 / CNRS, France",Europe,Female,Female,female
Patrick Thiran,2010,Program,"EPFL, Switzerland",Patrick Thiran,"EPFL, Switzerland",Europe,Male,Male,male
Don Towsley,2010,Program,"University of Massachusetts Amherst, USA",Don Towsley,"University of Massachusetts Amherst, USA",North America,Male,Male,male
Jon Turner,2010,Program,"Washington University, USA",Jon Turner,"Washington University, USA",North America,,,male
Amin Vahdat,2010,Program,"U.C. San Diego, USA",Amin Vahdat,"U.C. San Diego, USA",North America,Male,Male,male
Anwar Walid,2010,Program,"Bell Labs, USA",Anwar Walid,"Bell Labs, USA",North America,,,male
Matt Welsh,2010,Program,"Harvard University, USA",Matt Welsh,"Harvard University, USA",North America,Male,Male,male
Walter Willinger,2010,Program,"AT&T Labs - Research, USA",Walter Willinger,"AT&T Labs - Research, USA",North America,Male,Male,male
Yinglian Xie,2010,Program,"Microsoft Research SVC, USA",Yinglian Xie,"Microsoft Research SVC, USA",North America,Female,Female,unknown
Yin Zhang,2010,Program,"University of Texas at Austin, USA",Yin Zhang,"University of Texas at Austin, USA",North America,Female,Female,andy
John Byers,2011,Program,"Boston University, USA",John Byers,"Boston University, USA",North America,,Male,male
Jeffrey Mogul,2011,Program,"HP Labs, USA",Jeffrey Mogul,"HP Labs, USA",North America,,,male
Aditya Akella,2011,Program,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",North America,Male,Male,male
Katerina Argyraki,2011,Program,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",Europe,,Female,female
Paul Barford,2011,Program,"University of Wisconsin, USA",Paul Barford,"University of Wisconsin, USA",North America,Male,Male,male
Augustin Chaintreau,2011,Program,"Columbia University, USA",Augustin Chaintreau,"Columbia University, USA",North America,Male,Male,male
David Clark,2011,Program,"MIT, USA",David Clark,"MIT, USA",North America,,,male
Jon Crowcroft,2011,Program,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",Europe,Male,Male,male
Constantinos Dovrolis,2011,Program,"Georgia Tech, USA",Constantinos Dovrolis,"Georgia Tech, USA",North America,,Male,unknown
Will Eatherton,2011,Program,"Juniper Networks, USA",Will Eatherton,"Juniper Networks, USA",North America,,,mostly_male
Michael Freedman,2011,Program,"Princeton University, USA",Michael Freedman,"Princeton University, USA",North America,,,male
Yashar Ganjali,2011,Program,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",North America,Male,Male,male
Sharon Goldberg,2011,Program,"Boston University, USA",Sharon Goldberg,"Boston University, USA",North America,Female,Female,female
Matthias Grossglauser,2011,Program,"EPFL, Switzerland",Matthias Grossglauser,"EPFL, Switzerland",Europe,,,male
John Heidemann,2011,Program,"USC/Information Sciences Institute, USA",John Heidemann,"USC/Information Sciences Institute, USA",North America,,Male,male
Kyle Jamieson,2011,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",Europe,Male,Male,mostly_female
Ramesh Johari,2011,Program,"Stanford University, USA",Ramesh Johari,"Stanford University, USA",North America,,,male
Brad Karp,2011,Program,"University College London, UK",Brad Karp,"University College London, UK",Europe,Male,Male,male
Sachin Katti,2011,Program,"Stanford University, USA",Sachin Katti,"Stanford University, USA",North America,Male,Male,male
Arvind Krishnamurthy,2011,Program,"University of Washington, USA",Arvind Krishnamurthy,"University of Washington, USA",North America,Male,Male,male
Balachander Krishnamurthy,2011,Program,AT&T Labs,Balachander Krishnamurthy,AT&T Labs,North America,Male,Male,unknown
Nikolaos Laoutaris,2011,Program,"Telefonica Research, Spain",Nikolaos Laoutaris,"Telefonica Research, Spain",Europe,Male,Male,male
Ratul Mahajan,2011,Program,"Microsoft Research, USA",Ratul Mahajan,"Microsoft Research, USA",North America,Male,Male,unknown
David Oran,2011,Program,Unknown,David Oran,Unknown,North America,Male,Male,male
Jitendra Padhye,2011,Program,"Microsoft Research, USA",Jitendra Padhye,"Microsoft Research, USA",North America,Male,Male,unknown
Venkat Padmanabhan,2011,Program,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",Asia,,Male,male
Adrian Perrig,2011,Program,"Carnegie Mellon University, USA",Adrian Perrig,"Carnegie Mellon University, USA",North America,Male,Male,male
Lili Qiu,2011,Program,"University of Texas at Austin, USA",Lili Qiu,"University of Texas at Austin, USA",North America,Female,Female,female
Byrav Ramamurthy,2011,Program,"University of Nebraska-Lincoln, USA",Byrav Ramamurthy,"University of Nebraska-Lincoln, USA",North America,Male,Male,unknown
Danny Raz,2011,Program,"Technion, Israel",Danny Raz,"Technion, Israel",Asia,Male,Male,male
Scott Rixner,2011,Program,"Rice University, USA",Scott Rixner,"Rice University, USA",North America,,,male
Timothy Roscoe,2011,Program,"ETH Zurich, Switzerland",Timothy Roscoe,"ETH Zurich, Switzerland",Europe,Male,Male,male
Mema Roussopoulos,2011,Program,"University of Athens, Greece",Mema Roussopoulos,"University of Athens, Greece",Europe,Female,Female,unknown
Stefan Savage,2011,Program,"U.C. San Diego, USA",Stefan Savage,"U.C. San Diego, USA",North America,Male,Male,male
Srinivasan Seshan,2011,Program,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",North America,Male,Male,unknown
Devavrat Shah,2011,Program,"MIT, USA",Devavrat Shah,"MIT, USA",North America,Male,Male,unknown
Scott Shenker,2011,Program,"U.C. Berkeley, USA",Scott Shenker,"U.C. Berkeley, USA",North America,Male,Male,male
Emin Gün Sirer,2011,Program,"Cornell University, USA",Emin Gün Sirer,"Cornell University, USA",North America,,Male,male
Vijay Sivaraman,2011,Program,"University of New South Wales, Australia",Vijay Sivaraman,"University of New South Wales, Australia",Australia,Male,Male,mostly_male
Kun Tan,2011,Program,"Microsoft Research, China",Kun Tan,"Microsoft Research, China",Asia,Male,Male,andy
Amin Vahdat,2011,Program,"Google / U.C. San Diego, USA",Amin Vahdat,"Google / U.C. San Diego, USA",North America,Male,Male,male
Helen Wang,2011,Program,"Microsoft Research, USA",Helen Wang,"Microsoft Research, USA",North America,Female,Female,female
Gordon Wilfong,2011,Program,"Bell Labs Research, USA",Gordon Wilfong,"Bell Labs Research, USA",North America,,Male,male
Walter Willinger,2011,Program,"AT&T Labs - Research, USA",Walter Willinger,"AT&T Labs - Research, USA",North America,Male,Male,male
Alec Wolman,2011,Program,"Microsoft Research, USA",Alec Wolman,"Microsoft Research, USA",North America,,,male
Yinglian Xie,2011,Program,"Microsoft Research, USA",Yinglian Xie,"Microsoft Research, USA",North America,Female,Female,unknown
Richard Yang,2011,Program,"Yale University, USA",Richard Yang,"Yale University, USA",North America,,Male,male
Haifeng Yu,2011,Program,"National University of Singapore, Singapore",Haifeng Yu,"National University of Singapore, Singapore",Asia,Male,Male,unknown
Ellen Zegura,2011,Program,"Georgia Tech, USA",Ellen Zegura,"Georgia Tech, USA",North America,,Female,female
Yin Zhang,2011,Program,"University of Texas at Austin, USA",Yin Zhang,"University of Texas at Austin, USA",North America,Female,Female,andy
Yongguang Zhang,2011,Program,"Microsoft Research, China",Yongguang Zhang,"Microsoft Research, China",Asia,Male,Male,unknown
Heather Zheng,2011,Program,"U.C. Santa Barbara, USA",Heather Zheng,"U.C. Santa Barbara, USA",North America,Female,Female,female
Venkat Padmanabhan,2012,Program,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",Asia,,Male,male
George Varghese,2012,Program,"UCSD, USA",George Varghese,"UCSD, USA",North America,Male,Male,male
Aditya Akella,2012,Program,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",North America,Male,Male,male
Virgilio Almeida,2012,Program,"UFMG, Brazil",Virgilio Almeida,"UFMG, Brazil",South America,,,male
Mostafa Ammar,2012,Program,"Georgia Tech, USA",Mostafa Ammar,"Georgia Tech, USA",North America,,Male,male
Sujata Banerjee,2012,Program,"HP Labs, USA",Sujata Banerjee,"HP Labs, USA",North America,Female,Female,female
Fabián E. Bustamante,2012,Program,"Northwestern University, USA",Fabián E. Bustamante,"Northwestern University, USA",North America,Male,Male,unknown
Matt Caesar,2012,Program,"University of Illinois, USA",Matt Caesar,"University of Illinois, USA",North America,,,male
Krishna Chintalapudi,2012,Program,Microsoft Research India,Krishna Chintalapudi,Microsoft Research India,Asia,Male,Male,andy
Dah Ming Chiu,2012,Program,Chinese University of Hong Kong,Dah Ming Chiu,Chinese University of Hong Kong,Asia,Male,Male,unknown
Romit Roy Choudhury,2012,Program,"Duke University, USA",Romit Roy Choudhury,"Duke University, USA",North America,Male,Male,unknown
Mark Crovella,2012,Program,"Boston University, USA",Mark Crovella,"Boston University, USA",North America,Male,Male,male
Jon Crowcroft,2012,Program,"Cambridge University, UK",Jon Crowcroft,"Cambridge University, UK",Europe,Male,Male,male
Bruce Davie,2012,Program,"Nicira Networks, USA",Bruce Davie,"Nicira Networks, USA",North America,,Male,male
Jeff Dean,2012,Program,"Google, USA",Jeff Dean,"Google, USA",North America,Male,Male,male
Kevin Fall,2012,Program,"Qualcomm, USA",Kevin Fall,"Qualcomm, USA",North America,,,male
Nick Feamster,2012,Program,"University of Maryland, USA",Nick Feamster,"University of Maryland, USA",North America,Male,Male,male
Sergey Gorinsky,2012,Program,"Institute IMDEA Networks, Spain",Sergey Gorinsky,"Institute IMDEA Networks, Spain",Europe,Male,Male,male
Krishna Gummadi,2012,Program,"MPI-SWS, Germany",Krishna Gummadi,"MPI-SWS, Germany",Europe,,Male,andy
Kyle Jamieson,2012,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",Europe,Male,Male,mostly_female
Brad Karp,2012,Program,"University College London, UK",Brad Karp,"University College London, UK",Europe,Male,Male,male
Dina Katabi,2012,Program,"MIT, USA",Dina Katabi,"MIT, USA",North America,Female,Female,female
Sachin Katti,2012,Program,"Stanford University, USA",Sachin Katti,"Stanford University, USA",North America,Male,Male,male
Ramana Kompella,2012,Program,"Purdue University, USA",Ramana Kompella,"Purdue University, USA",North America,,,male
Arvind Krishnamurthy,2012,Program,"University of Washington, USA",Arvind Krishnamurthy,"University of Washington, USA",North America,Male,Male,male
Craig Labovitz,2012,Program,"DeepField Networks, USA",Craig Labovitz,"DeepField Networks, USA",North America,Male,Male,male
T. V. Lakshman,2012,Program,"Bell Labs, Alcatel-Lucent, USA",T. V. Lakshman,"Bell Labs, Alcatel-Lucent, USA",North America,Male,Male,unknown
Kirill Levchenko,2012,Program,"UC San Diego, USA",Kirill Levchenko,"UC San Diego, USA",North America,Male,Male,male
Dave Levin,2012,Program,"HP Labs, USA",Dave Levin,"HP Labs, USA",North America,Male,Male,male
Bruce Maggs,2012,Program,"Duke University and Akamai Technologies, USA",Bruce Maggs,"Duke University and Akamai Technologies, USA",North America,Male,Male,male
Ratul Mahajan,2012,Program,"Microsoft Research Redmond, USA",Ratul Mahajan,"Microsoft Research Redmond, USA",North America,Male,Male,unknown
Dave Maltz,2012,Program,"Microsoft, USA",Dave Maltz,"Microsoft, USA",North America,,,male
Z. Morley Mao,2012,Program,"University of Michigan, USA",Z. Morley Mao,"University of Michigan, USA",North America,Female,Female,unknown
Nick McKeown,2012,Program,"Stanford University, USA",Nick McKeown,"Stanford University, USA",North America,Male,Male,male
Mike Mitzenmacher,2012,Program,"Harvard University, USA",Mike Mitzenmacher,"Harvard University, USA",North America,,,male
Craig Partridge,2012,Program,"Raytheon BBN Technologies, USA",Craig Partridge,"Raytheon BBN Technologies, USA",North America,Male,Male,male
Lili Qiu,2012,Program,"UT Austin, USA",Lili Qiu,"UT Austin, USA",North America,Female,Female,female
K. K. Ramakrishnan,2012,Program,"AT&T Labs Research, USA",K. K. Ramakrishnan,"AT&T Labs Research, USA",North America,Male,Male,unknown
Bhaskaran Raman,2012,Program,"IIT Bombay, India",Bhaskaran Raman,"IIT Bombay, India",Asia,Male,Male,unknown
Pablo Rodriguez,2012,Program,"Telefonica Research, Spain",Pablo Rodriguez,"Telefonica Research, Spain",Europe,,Male,male
Ant Rowstron,2012,Program,"Microsoft Research Cambridge, UK",Ant Rowstron,"Microsoft Research Cambridge, UK",Europe,,,male
Srinivasan Seshan,2012,Program,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",North America,Male,Male,unknown
Hovav Shacham,2012,Program,"UC San Diego, USA",Hovav Shacham,"UC San Diego, USA",North America,Male,Male,unknown
Emin Gün Sirer,2012,Program,"Cornell University, USA",Emin Gün Sirer,"Cornell University, USA",North America,,Male,male
Ion Stoica,2012,Program,"UC Berkeley, USA",Ion Stoica,"UC Berkeley, USA",North America,Male,Male,male
Lakshmi Subramanian,2012,Program,"New York University, USA",Lakshmi Subramanian,"New York University, USA",North America,,,female
Renata Teixeira,2012,Program,"CNRS and UMPC Sorbonne Universities, France",Renata Teixeira,"CNRS and UMPC Sorbonne Universities, France",Europe,Female,Female,female
Jon Turner,2012,Program,"Washington University, USA",Jon Turner,"Washington University, USA",North America,,,male
Kobus Van der Merwe,2012,Program,"AT&T Labs - Research, USA",Kobus Van der Merwe,"AT&T Labs - Research, USA",North America,Male,Male,male
David Wetherall,2012,Program,"University of Washington, USA",David Wetherall,"University of Washington, USA",North America,Male,Male,male
Haifeng Yu,2012,Program,National University of Singapore,Haifeng Yu,National University of Singapore,Asia,Male,Male,unknown
Paul Barford,2013,Program,"University of Wisconsin, USA",Paul Barford,"University of Wisconsin, USA",North America,Male,Male,male
Srinivasan Seshan,2013,Program,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",North America,Male,Male,unknown
Aditya Akella,2013,Program,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",North America,Male,Male,male
Katerina Argyraki,2013,Program,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",Europe,,Female,female
Ranjita Bhagwan,2013,Program,"Microsoft Research, India",Ranjita Bhagwan,"Microsoft Research, India",Asia,Female,Female,unknown
Elizabeth Belding,2013,Program,"University of California-Santa Barbara, USA",Elizabeth Belding,"University of California-Santa Barbara, USA",North America,,,female
John Byers,2013,Program,"Boston University, USA",John Byers,"Boston University, USA",North America,,Male,male
Matt Caesar,2013,Program,"University of Illinois, USA",Matt Caesar,"University of Illinois, USA",North America,,,male
Jon Crowcroft,2013,Program,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",Europe,Male,Male,male
Sonia Fahmy,2013,Program,"Purdue University, USA",Sonia Fahmy,"Purdue University, USA",North America,Female,Female,female
Nick Feamster,2013,Program,"Georgia Institute of Technology, USA",Nick Feamster,"Georgia Institute of Technology, USA",North America,Male,Male,male
Lixin Gao,2013,Program,"University of Massachusetts, USA",Lixin Gao,"University of Massachusetts, USA",North America,Female,Female,unknown
Shyamnath Gollakota,2013,Program,"University of Washington, USA",Shyamnath Gollakota,"University of Washington, USA",North America,Male,Male,unknown
Tim Griffin,2013,Program,"University of Cambridge, UK",Tim Griffin,"University of Cambridge, UK",Europe,,,male
John Heidemann,2013,Program,"USC/Information Sciences Institute, USA",John Heidemann,"USC/Information Sciences Institute, USA",North America,,Male,male
Brad Karp,2013,Program,"University College London, UK",Brad Karp,"University College London, UK",Europe,Male,Male,male
Sachin Katti,2013,Program,"Stanford University, USA",Sachin Katti,"Stanford University, USA",North America,Male,Male,male
Arvind Krishnamurthy,2013,Program,"University of Washington, USA",Arvind Krishnamurthy,"University of Washington, USA",North America,Male,Male,male
Craig Labovitz,2013,Program,"Arbor Networks, USA",Craig Labovitz,"Arbor Networks, USA",North America,Male,Male,male
Nikolaos Laoutaris,2013,Program,"Telefonica Research, Spain",Nikolaos Laoutaris,"Telefonica Research, Spain",Europe,Male,Male,male
David Levin,2013,Program,"University of Maryland, USA",David Levin,"University of Maryland, USA",North America,,,male
John C.S. Lui,2013,Program,"The Chinese University of Hong Kong, China",John C.S. Lui,"The Chinese University of Hong Kong, China",Asia,,Male,male
Olaf Maennel,2013,Program,"Loughborough University, UK",Olaf Maennel,"Loughborough University, UK",Europe,Male,Male,male
Laurent Mathy,2013,Program,"Lancaster University, UK",Laurent Mathy,"Lancaster University, UK",Europe,Male,Male,male
David Oran,2013,Program,Unknown,David Oran,Unknown,North America,Male,Male,male
Jitu Padhye,2013,Program,"Microsoft Research, USA",Jitu Padhye,"Microsoft Research, USA",North America,Male,Male,unknown
Venkat Padmanabhan,2013,Program,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",Asia,,Male,male
Vyas Sekar,2013,Program,"Stony Brook University, USA",Vyas Sekar,"Stony Brook University, USA",North America,Male,Male,unknown
Georgios Smaragdakis,2013,Program,"Deutsche Telekom Labs/TU Berlin, Germany",Georgios Smaragdakis,"Deutsche Telekom Labs/TU Berlin, Germany",Europe,Male,Male,male
Peter Steenkiste,2013,Program,"Carnegie Mellon University, USA",Peter Steenkiste,"Carnegie Mellon University, USA",North America,Male,Male,male
Ion Stoica,2013,Program,"University of California-Berkely, USA",Ion Stoica,"University of California-Berkely, USA",North America,Male,Male,male
Nina Taft,2013,Program,"Technicolor Palo Alto, USA",Nina Taft,"Technicolor Palo Alto, USA",North America,Female,Female,female
Kun Tan,2013,Program,"Microsoft Research, China",Kun Tan,"Microsoft Research, China",Asia,Male,Male,andy
Amin Vahdat,2013,Program,"Google/UC San Diego, USA",Amin Vahdat,"Google/UC San Diego, USA",North America,Male,Male,male
Walter Willinger,2013,Program,"AT&T Labs Research, USA",Walter Willinger,"AT&T Labs Research, USA",North America,Male,Male,male
Arvind Krishnamurthy,2014,Program,"University of Washington, USA",Arvind Krishnamurthy,"University of Washington, USA",North America,Male,Male,male
Sylvia Ratnasamy,2014,Program,"UC Berkeley, USA",Sylvia Ratnasamy,"UC Berkeley, USA",North America,Female,Female,female
Aditya Akella,2014,Program,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",North America,Male,Male,male
Katerina Argyraki,2014,Program,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",Europe,,Female,female
Guido Appenzeller,2014,Program,"Big Switch Networks, USA",Guido Appenzeller,"Big Switch Networks, USA",North America,Male,Male,male
Hitesh Ballani,2014,Program,"Microsoft Research, UK",Hitesh Ballani,"Microsoft Research, UK",Europe,Male,Male,unknown
Paul Barford,2014,Program,"University of Wisconsin, USA",Paul Barford,"University of Wisconsin, USA",North America,Male,Male,male
Matt Caesar,2014,Program,"University of Illinois, USA",Matt Caesar,"University of Illinois, USA",North America,,,male
Augustin Chaintreau,2014,Program,"Columbia University, USA",Augustin Chaintreau,"Columbia University, USA",North America,Male,Male,male
Bruce Davie,2014,Program,"VMware, USA",Bruce Davie,"VMware, USA",North America,,Male,male
Christophe Diot,2014,Program,"Technicolor, France",Christophe Diot,"Technicolor, France",Europe,Male,Male,male
Nandita Dukkipati,2014,Program,"Google, USA",Nandita Dukkipati,"Google, USA",North America,Female,Female,female
Rodrigo Fonseca,2014,Program,"Brown University, USA",Rodrigo Fonseca,"Brown University, USA",North America,Male,Male,male
Nate Foster,2014,Program,"Cornell University, USA",Nate Foster,"Cornell University, USA",North America,Male,Male,female
Ali Ghodsi,2014,Program,"UC Berkeley, USA",Ali Ghodsi,"UC Berkeley, USA",North America,,Male,male
Paul Francis,2014,Program,"Max Planck Institute, Germany",Paul Francis,"Max Planck Institute, Germany",Europe,Male,Male,male
Sharon Goldberg,2014,Program,"Boston University, USA",Sharon Goldberg,"Boston University, USA",North America,Female,Female,female
Brighten Godfrey,2014,Program,"University of Illinois, USA",Brighten Godfrey,"University of Illinois, USA",North America,,Male,unknown
Shyam Gollakota,2014,Program,"University of Washington, USA",Shyam Gollakota,"University of Washington, USA",North America,Male,Male,male
Saikat Guha,2014,Program,"Microsoft Research, India",Saikat Guha,"Microsoft Research, India",Asia,Male,Male,unknown
Krishna Gummadi,2014,Program,"Max Planck Institute, Germany",Krishna Gummadi,"Max Planck Institute, Germany",Europe,,Male,andy
Chuanxiong Guo,2014,Program,"Microsoft Research, Asia",Chuanxiong Guo,"Microsoft Research, Asia",Asia,Male,Male,unknown
Polly Huang,2014,Program,"National Taiwan University, Taiwan",Polly Huang,"National Taiwan University, Taiwan",Asia,Female,Female,female
Kyle Jamieson,2014,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",Europe,Male,Male,mostly_female
Brad Karp,2014,Program,"University College London, UK",Brad Karp,"University College London, UK",Europe,Male,Male,male
