name,year,committee,region,cleanedName,cleanedRegion,Continent,DirectMatch,FuzzyMatch,ApproximateDoctoralGradYear
Mark Crovella,2017,Program,Boston University,Mark Crovella,Boston University,North America,Male,Male,1994
RubÃ©n Cuevas,2017,Program,Universidad Carlos III de Madrid,Rubaon Cuevas,Universidad Carlos III de Madrid,Europe,,Male,2010
Italo Cunha,2017,Program,UFMG,Italo Cunha,UFMG,South America,Male,Male,2011
Xenofontas Dimitropoulos,2017,Program,University of Crete & FORTH,Xenofontas Dimitropoulos,University of Crete & FORTH,Europe,,Male,2006
Nandita Dukkipati,2017,Program,Google,Nandita Dukkipati,Google,North America,Female,Female,2007
Nate Foster,2017,Program,Cornell University,Nate Foster,Cornell University,North America,Male,Male,2009
Monia Ghobadi,2017,Program,Microsoft Research,Monia Ghobadi,Microsoft Research,North America,,Female,2013
Phillipa Gill,2017,Program,University of Massachusetts - Amherst,Phillipa Gill,University of Massachusetts - Amherst,North America,Female,Female,2012
Sharon Goldberg,2017,Program,Boston University,Sharon Goldberg,Boston University,North America,Female,Female,2009
Shyam Gollakota,2017,Program,University of Washington,Shyam Gollakota,University of Washington,North America,Male,Male,2013
Arjun Guha,2017,Program,University of Massachusetts - Amherst,Arjun Guha,University of Massachusetts - Amherst,North America,Male,Male,2013
Andreas Haeberlen,2017,Program,University of Pennsylvania,Andreas Haeberlen,University of Pennsylvania,North America,Male,Male,2009
Haitham Hassanieh,2017,Program,UIUC,Haitham Hassanieh,UIUC,North America,Male,Male,2016
Changhoon Kim,2017,Program,Barefoot Networks,Changhoon Kim,Barefoot Networks,North America,Male,Male,2009
Teemu Koponen,2017,Program,Styra,Teemu Koponen,Styra,North America,Male,Male,2008
Arvind Krishnamurthy,2017,Program,University of Washington,Arvind Krishnamurthy,University of Washington,North America,Male,Male,1998
Nikolaos Laoutaris,2017,Program,Telefonica,Nikolaos Laoutaris,Telefonica,Europe,Male,Male,2004
Olaf Maennel,2017,Program,Tallinn University of Technology,Olaf Maennel,Tallinn University of Technology,Australia,Male,Male,2005
Ratul Mahajan,2017,Program,Microsoft Research,Ratul Mahajan,Microsoft Research,North America,Male,Male,2005
Z. Morley Mao,2017,Program,University of Michigan,Z. Morley Mao,University of Michigan,North America,Female,Female,2003
Michael Mitzenmacher,2017,Program,Harvard University,Michael Mitzenmacher,Harvard University,North America,Male,Male,1996
Venkat Padmanabhan,2017,Program,Microsoft Research India,Venkat Padmanabhan,Microsoft Research India,Asia,,Male,1998
Dina Papagiannaki,2017,Program,Google,Dina Papagiannaki,Google,North America,Female,Female,2003
George Papen,2017,Program,UC San Diego,George Papen,UC San Diego,North America,Male,Male,1989
Barath Raghavan,2017,Program,ICSI,Barath Raghavan,ICSI,North America,Male,Male,2009
Bhaskaran Raman,2017,Program,IIT Bombay,Bhaskaran Raman,IIT Bombay,Asia,Male,Male,2002
Pablo Rodriguez,2017,Program,Telefonica,Pablo Rodriguez,Telefonica,Europe,,Male,2000
Michael Schapira,2017,Program,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,Asia,Male,Male,2008
Vyas Sekar,2017,Program,Carnegie Mellon University,Vyas Sekar,Carnegie Mellon University,North America,Male,Male,2010
Justine Sherry,2017,Program,Carnegie Mellon University,Justine Sherry,Carnegie Mellon University,North America,Female,Female,2016
Ankit Singla,2017,Program,ETH ZÃ¼rich,Ankit Singla,ETH ZÃ¼rich,Europe,Male,Male,2015
Kun Tan,2017,Program,Huawei,Kun Tan,Huawei,North America,Male,Male,?
Renata Teixeira,2017,Program,Inria,Renata Teixeira,Inria,Europe,Female,Female,2005
Amin Vahdat,2017,Program,Google,Amin Vahdat,Google,North America,Male,Male,1998
Laurent Vanbever,2017,Program,ETH ZÃ¼rich,Laurent Vanbever,ETH ZÃ¼rich,Europe,Male,Male,2012
George Varghese,2017,Program,UCLA,George Varghese,UCLA,North America,Male,Male,1992
Keith Winstein,2017,Program,Stanford University,Keith Winstein,Stanford University,North America,Male,Male,2014
Haifeng Yu,2017,Program,National University of Singapore,Haifeng Yu,National University of Singapore,Asia,Male,Male,2002
Minlan Yu,2017,Program,Yale University,Minlan Yu,Yale University,North America,Female,Female,2011
James Hongyi Zeng,2017,Program,Facebook,James Hongyi Zeng,Facebook,North America,,Male,2014
Ming Zhang,2017,Program,Alibaba Group,Ming Zhang,Alibaba Group,North America,Male,Male,2005
Mark Handley,2018,Program,"UCL, UK",Mark Handley,"UCL, UK",Europe,Male,Male,1997
Dina Katabi,2018,Program,"MIT, USA",Dina Katabi,"MIT, USA",North America,Female,Female,2003
Fadel Adib,2018,Program,"MIT, USA",Fadel Adib,"MIT, USA",North America,Male,Male,2016
Aditya Akella,2018,Program,"Wisconsin, USA",Aditya Akella,"Wisconsin, USA",North America,Male,Male,2005
Mohammad Alizadeh,2018,Program,"MIT, USA",Mohammad Alizadeh,"MIT, USA",North America,Male,Male,2013
David Andersen,2018,Program,"CMU, USA",David Andersen,"CMU, USA",North America,Male,Male,2004
Hitesh Ballani,2018,Program,"Microsoft, UK",Hitesh Ballani,"Microsoft, UK",Europe,Male,Male,2009
Sujata Banerjee,2018,Program,"VMware, USA",Sujata Banerjee,"VMware, USA",North America,Female,Female,1993
Theo Benson,2018,Program,"Brown, USA",Theo Benson,"Brown, USA",North America,Male,Male,2012
Olivier Bonaventure,2018,Program,"UCL, Belgium",Olivier Bonaventure,"UCL, Belgium",Europe,Male,Male,1999
Marco Canini,2018,Program,"KAUST, KSA",Marco Canini,"KAUST, KSA",Asia,Male,Male,2009
Martin Casado,2018,Program,"A16Z, USA",Martin Casado,"A16Z, USA",North America,,Male,2008
Ranveer Chandra,2018,Program,"Microsoft, USA",Ranveer Chandra,"Microsoft, USA",North America,Male,Male,2005
Romit Roy Choudhury,2018,Program,"UIUC, USA",Romit Roy Choudhury,"UIUC, USA",North America,Male,Male,2006
Mosharaf Chowdhury,2018,Program,"UMich, USA",Mosharaf Chowdhury,"UMich, USA",North America,Male,Male,2015
Nandita Dukkipati,2018,Program,"Google, USA",Nandita Dukkipati,"Google, USA",North America,Female,Female,2007
Nate Foster,2018,Program,"Cornell, USA",Nate Foster,"Cornell, USA",North America,Male,Male,2009
Deepak Ganesan,2018,Program,"UMass, USA",Deepak Ganesan,"UMass, USA",North America,Male,Male,2004
Brighten Godfrey,2018,Program,"UIUC, USA",Brighten Godfrey,"UIUC, USA",North America,,Male,2009
Marco Gruteser,2018,Program,"Rutgers, USA",Marco Gruteser,"Rutgers, USA",North America,Male,Male,2004
Haitham Hassanieh,2018,Program,"UIUC, USA",Haitham Hassanieh,"UIUC, USA",North America,Male,Male,2016
Kyle Jamieson,2018,Program,"Princeton, USA",Kyle Jamieson,"Princeton, USA",North America,Male,Male,2008
Srikanth Kandula,2018,Program,"Microsoft, USA",Srikanth Kandula,"Microsoft, USA",North America,Male,Male,2008
Sachin Katti,2018,Program,"Stanford, USA",Sachin Katti,"Stanford, USA",North America,Male,Male,2008
Changhoon Kim,2018,Program,"Barefoot, USA",Changhoon Kim,"Barefoot, USA",North America,Male,Male,2009
Eddie Kohler,2018,Program,"Harvard, USA",Eddie Kohler,"Harvard, USA",North America,Male,Male,2000
Arvind Krishnamurthy,2018,Program,"UW, USA",Arvind Krishnamurthy,"UW, USA",North America,Male,Male,1998
Kate Lin,2018,Program,"NCTU, Taiwan",Kate Lin,"NCTU, Taiwan",Asia,,Female,2009
Ratul Mahajan,2018,Program,"Intentionet, USA",Ratul Mahajan,"Intentionet, USA",North America,Male,Male,2005
James Mickens,2018,Program,"Harvard, USA",James Mickens,"Harvard, USA",North America,Male,Male,2008
Dave Oran,2018,Program,"Cisco, USA",Dave Oran,"Cisco, USA",North America,,Male,?
Dina Papagiannaki,2018,Program,"Google, USA",Dina Papagiannaki,"Google, USA",North America,Female,Female,2003
KyoungSoo Park,2018,Program,"KAIST, South Korea",KyoungSoo Park,"KAIST, South Korea",Asia,Male,Male,2007
Adrian Perrig,2018,Program,"ETH, Switzerland",Adrian Perrig,"ETH, Switzerland",Europe,Male,Male,2001
Lili Qiu,2018,Program,"UT, USA",Lili Qiu,"UT, USA",North America,Female,Female,2001
Costin Raiciu,2018,Program,"UPB, Romania",Costin Raiciu,"UPB, Romania",Europe,Male,Male,2011
Michael Schapira,2018,Program,"HUJI, Israel",Michael Schapira,"HUJI, Israel",Asia,Male,Male,2008
Aaron Schulman,2018,Program,"UCSD, USA",Aaron Schulman,"UCSD, USA",North America,Male,Male,2013
Srinivasan Seshan,2018,Program,"CMU, USA",Srinivasan Seshan,"CMU, USA",North America,Male,Male,1995
Justine Sherry,2018,Program,"CMU, USA",Justine Sherry,"CMU, USA",North America,Female,Female,2016
Ion Stoica,2018,Program,"Berkeley, USA",Ion Stoica,"Berkeley, USA",North America,Male,Male,2000
Renata Teixeira,2018,Program,"Inria, France",Renata Teixeira,"Inria, France",Europe,Female,Female,2005
Amin Vahdat,2018,Program,"Google, USA",Amin Vahdat,"Google, USA",North America,Male,Male,1998
Laurent Vanbever,2018,Program,"ETH, Switzerland",Laurent Vanbever,"ETH, Switzerland",Europe,Male,Male,2012
Stefano Vissicchio,2018,Program,"UCL, UK",Stefano Vissicchio,"UCL, UK",Europe,Male,Male,2012
Walter Willinger,2018,Program,"NIKSUN, USA",Walter Willinger,"NIKSUN, USA",North America,Male,Male,1987
Keith Winstein,2018,Program,"Stanford, USA",Keith Winstein,"Stanford, USA",North America,Male,Male,2014
Hongyi Zeng,2018,Program,"Facebook, USA",Hongyi Zeng,"Facebook, USA",North America,Male,Male,2014
Ming Zhang,2018,Program,"Alibaba, China",Ming Zhang,"Alibaba, China",Asia,Male,Male,2005
Yibo Zhu,2018,Program,"Microsoft, USA",Yibo Zhu,"Microsoft, USA",North America,Male,Male,2016
Katerina Argyraki,2019,Program,EPFL,Katerina Argyraki,EPFL,Europe,,Female,2007
John Heidemann,2019,Program,USC/ISI,John Heidemann,USC/ISI,North America,,Male,1995
Omid Abari,2019,Program,Waterloo,Omid Abari,Waterloo,North America,Male,Male,2018
Fadel Adib,2019,Program,MIT,Fadel Adib,MIT,North America,Male,Male,2016
Aditya Akella,2019,Program,UWM,Aditya Akella,UWM,North America,Male,Male,2005
Mark Allman,2019,Program,ICSI,Mark Allman,ICSI,North America,Male,Male,1997
Aruna Balasubramanian,2019,Program,Stony Brook,Aruna Balasubramanian,Stony Brook,North America,Female,Female,2011
